ï»¿PROJECT_NUMBER,PROJECT_EN,DEVELOPER_NUMBER,DEVELOPER_EN,START_DATE,END_DATE,ADOPTION_DATE,PRJ_TYPE_EN,PROJECT_VALUE,ESCROW_ACCOUNT_NUMBER,PROJECT_STATUS,PERCENT_COMPLETED,INSPECTION_DATE,COMPLETION_DATE,DESCRIPTION_EN,AREA_EN,ZONE_EN,CNT_LAND,CNT_BUILDING,CNT_VILLA,CNT_UNIT,MASTER_PROJECT_EN
3462,The Valley - Elva,1211,EMAAR DEVELOPMENT P.J.S.C.,2025-02-28 00:00:00,2028-10-31 00:00:00,2024-12-24 21:02:49,Normal,290865637,205345068535.0,ACTIVE,5.14,2025-09-12 17:28:20,,"Residential development consisting of 244 villas (G+1)
",Al Yufrah 1,Dubai Development Authority (DDA),0.0,0.0,244.0,0.0,
3464,Ashwood Residences by Skyland Horizons Real Estate Development,1829,SKYLAND HORIZONS REAL ESTATE DEVELOPMENT L.L.C,2025-04-01 00:00:00,2027-03-31 00:00:00,2025-06-03 14:59:40,Normal,55671360,90030200025178.0,ACTIVE,3.86,2025-09-19 11:19:23,,Residential Building (U/G +G+4P+17+R),Al Barsha South Fifth,Trakhees,0.0,0.0,0.0,153.0,
3465,Reportage Hills,1277,REPORTAGE PRIME PROPERTIES L.L.C,2025-06-30 00:00:00,2028-06-30 00:00:00,2025-01-10 00:00:00,Normal,275000000,1009780436.0,ACTIVE,0.0,2024-12-20 10:15:26,,259 villas,Al Hebiah Fifth,Dubai Development Authority (DDA),2.0,0.0,1121.0,0.0,
3467,Elire,1692,QUBE DEVELOPMENT L.L.C,2025-04-15 00:00:00,2028-12-15 00:00:00,2025-04-28 00:00:00,Normal,164451210,1091006021279010.0,ACTIVE,0.11,2025-09-23 10:42:36,,"Building (1B+G+3P+25) 100 Units. The project designed to have a concrete structure and block with internal and external finishes.

",Business Bay,Dubai Development Authority (DDA),0.0,0.0,0.0,101.0,
3468,Lilian Residences,1596,LONDON GATE REAL ESTATE DEVELOPMENT L.L.C,2025-04-01 00:00:00,2028-04-01 00:00:00,2025-05-16 13:54:33,Normal,20580000,29370864.0,ACTIVE,0.0,2024-12-20 14:05:35,,Residential building consisting of  1P+G+6F+Roof,Madinat Al Mataar,Dubai South,0.0,0.0,0.0,66.0,
3469,OMORIA HOTEL RESIDENCES,1175,INNOVATE DEVELOPMENT L.L.C,2025-01-01 00:00:00,2028-07-31 00:00:00,2025-05-30 12:19:25,Normal,80000000,12010515004.0,ACTIVE,0.0,2025-01-20 17:11:32,,B+G+7,Palm Deira,Trakhees,0.0,0.0,0.0,57.0,
3471,OMORIA RESORT RESIDENCES,1175,INNOVATE DEVELOPMENT L.L.C,2025-04-01 00:00:00,2028-12-31 00:00:00,,Normal,80000000,,PENDING,,,,"	
B+G+7",Palm Deira,,1.0,0.0,0.0,0.0,
3472,Bellagio by Sunrise,1481,SUNRISE CAPITAL REAL ESTATE DEVELOPMENT L.L.C,2025-05-01 00:00:00,2027-12-01 00:00:00,2025-03-20 19:29:32,Normal,140000000,19500000730.0,ACTIVE,0.0,2024-12-24 14:55:03,,(B+G+P+12) Residential + Office Building,Jabal Ali First,Dubai Municipality,0.0,0.0,0.0,275.0,
3475,DAMAC ISLANDS - BALI 1,2035,DAMAC ELITE INVESTMENT CO. L.L.C,2025-04-15 00:00:00,2028-12-31 00:00:00,2025-01-28 09:39:59,Normal,125720093,205892602927.0,ACTIVE,0.24,2025-06-04 11:26:59,,"Project consists of 294 of G+1 and G+2 Townhouses and Villas located in Al Yelayiss 1, Dubai. The units are designed to have a concrete structure and block with internal and external finishes.",Al Yelayiss 1,Dubai Development Authority (DDA),0.0,0.0,294.0,0.0,
3476,DAMAC ISLANDS - BORA BORA 4,2035,DAMAC ELITE INVESTMENT CO. L.L.C,2025-04-19 00:00:00,2028-12-31 00:00:00,2025-01-22 00:00:00,Normal,37411787,205892602925.0,ACTIVE,0.24,2025-06-04 11:30:21,,"Project consists of 59 of G+1 and G+2 Townhouses and Villas located in Al Yelayiss 1, Dubai. The units are designed to have a concrete structure and block with internal and external finishes.",Al Yelayiss 1,Dubai Development Authority (DDA),12.0,0.0,47.0,0.0,
3477,Azurline Residences by MAAS Developers ,1778,M A A S DEVELOPERS L.L.C,2025-01-01 00:00:00,2027-03-31 00:00:00,2025-03-04 11:28:20,Normal,82990000,13309973920002.0,ACTIVE,16.17,2025-07-15 13:03:47,,"Residential Building (UG+G+4P+PH+18F+R) with Retail @ ground floor +
Swimming Pool with entertainment area @ First floor",Al Barsha South Fourth,Trakhees,0.0,0.0,0.0,205.0,
3479,Zoya Living ,2023,BRILLANA REAL ESTATE DEVELOPMENT L.L.C,2025-04-01 00:00:00,2026-12-31 00:00:00,,Normal,19000000,,CANCELLED,,,,G+8Floors+R (Residential Building),Wadi Al Safa 5,,,,,,
3480,Skyhills Astra,1669,HRE REAL ESTATE DEVELOPMENT L.L.C,2025-01-31 00:00:00,2028-06-30 00:00:00,2025-01-23 00:00:00,Normal,850089100,12157179019.0,ACTIVE,34.15,2025-09-17 10:44:06,,"Tower A: 4B+G+3P+32F+1LR+R
Tower B: 4B+G+3P+33F+1LR+R",Al Barshaa South Second,Dubai Development Authority (DDA),0.0,0.0,0.0,1700.0,
3481,Binghatti Hillside,1051,Binghatti Developers FZE,2025-01-31 00:00:00,2026-06-30 00:00:00,2025-01-24 15:57:06,Normal,150000000,1582192023801.0,ACTIVE,0.0,2025-01-01 00:30:16,,3B + G + 2P +21 RESIDENTIAL FLOORS + ROOF,Al Barshaa South Second,Dubai Development Authority (DDA),0.0,0.0,0.0,411.0,
3482,Azha Millennium Residences,1821,AZHA J V T RESIDENCES L.L.C,2025-06-01 00:00:00,2027-09-01 00:00:00,2025-05-29 13:29:51,Normal,140000000,13807712920003.0,ACTIVE,0.0,2025-01-07 18:55:48,,Mixed used( Residential with retails @ground level (B+G+4P+30+R),Al Barsha South Fifth,Trakhees,0.0,0.0,0.0,198.0,
3483,Cove Edition Residence 4 By Imtiaz ,1129,IMTIAZ REAL ESTATE INVESTMENT & DEVELOPMENT L.L.C,2025-01-21 00:00:00,2027-01-21 00:00:00,2025-01-28 00:00:00,Normal,61045673,1011225608110043.0,ACTIVE,5.22,2025-09-01 09:01:19,, 1B+G+3P+13F+R  RESIDENTIAL BUILDING,Wadi Al Safa 5,Dubai Development Authority (DDA),0.0,0.0,0.0,260.0,
3484,Al Haseen Residence 3,1157,DUGASTA PROPERTIES DEVELOPMENT L.L.C,2025-04-15 00:00:00,2027-05-15 00:00:00,2025-02-07 15:43:05,Normal,31000000,11879528920006.0,ACTIVE,0.64,2025-09-11 13:31:39,,1B+G+6+R,Saih Shuaib 2,Dubai Development Authority (DDA),0.0,0.0,0.0,180.0,
3486,27 East End Garden Residences By Mirha Homes Real Estate Development,2090,MIRHA HOMES REAL ESTATE DEVELOPMENT L.L.C,2025-02-01 00:00:00,2027-01-31 00:00:00,2025-08-01 15:21:00,Normal,24000000,19500000745.0,ACTIVE,1.85,2025-01-03 15:55:40,,Residential Building (B+G+5+Roof),Warsan Fourth,Trakhees,0.0,0.0,0.0,96.0,
3487,ADDRESS GRAND DOWNTOWN,1162,NSHAMA PROPERTIES OWNED BY NSHMI DEVELOPMENT ONE PERSON COMPANY L.L.C,2025-06-10 00:00:00,2028-06-10 00:00:00,2025-02-19 14:19:12,Normal,478731513,4031224702173083.0,ACTIVE,0.0,2025-01-15 12:03:22,,Residential Tower G+54+Roof ,Burj Khalifa,Dubai Municipality,0.0,0.0,0.0,81.0,
3488,Parkwood,984,DUBAI HILLS ESTATE L.L.C,2025-05-02 00:00:00,2029-01-31 00:00:00,2025-01-22 11:04:41,Normal,458124000,4031223791259012.0,ACTIVE,1.54,2025-08-29 11:48:48,,"Tower A: B + G + P + 20 floors, 184 Residential Units
Tower B: B + G + P + 19 floors, 292 Residential Units
Townhouses: G + 1, 11 Residential Units
Clinic: G + 1
",Hadaeq Sheikh Mohammed Bin Rashid,Dubai Development Authority (DDA),0.0,0.0,0.0,488.0,
3490,DAMAC ISLANDS - BALI 2,2035,DAMAC ELITE INVESTMENT CO. L.L.C,2025-04-15 00:00:00,2028-12-31 00:00:00,2025-01-28 09:41:59,Normal,142888189,205892602929.0,ACTIVE,0.24,2025-06-04 11:28:41,,"Project consists of 338 of G+1 and G+2 Townhouses and Villas located in Al Yelayiss 1, Dubai. The units are designed to have a concrete structure and block with internal and external finishes.",Al Yelayiss 1,Dubai Development Authority (DDA),0.0,0.0,338.0,0.0,
3491,Knightsbridge Park 2 ,2088,LEOS SOF REAL ESTATE DEVELOPMENT L.L.C,2025-04-15 00:00:00,2027-11-15 00:00:00,2025-02-25 14:26:48,Normal,168000000,205899233305.0,ACTIVE,0.0,2025-01-07 13:23:39,,"Knightsbridge park 2, Dubai?s first climate-adaptive wellness community, presents an exclusive boutique oasis inspired by British architectural style. Nestled in the heart of Meydan District 11.

Knightsbridge will be home to 66 luxury homes, including meticulously designed 6 & 5 bedroom waterfront villas and 4 bedroom townhouses, all set amidst crystal-clear waters, lush green areas, and open skies.

This serene haven of luxury and natural beauty redefines luxury living by seamlessly integrating innovative environmental technology with timeless design, ensuring a lifestyle that harmonizes comfort and sustainability.
Discover a new era of world-class wellness, where every element is crafted to enhance well-being while adapting to Dubai?s unique climate",Wadi Al Safa 3,Dubai Municipality,0.0,0.0,46.0,0.0,
3494,Floarea  Grande,1542,MASHRIQ ELITE REAL ESTATE DEVELOPMENT L.L.C,2025-02-15 00:00:00,2027-08-14 00:00:00,2025-02-26 12:40:50,Normal,58000000,19500000724.0,ACTIVE,8.97,2025-09-29 11:26:33,,RESIDENTIAL BUILDING (B+G+9+ROOF ),Al Barshaa South Third,Dubai Development Authority (DDA),0.0,0.0,0.0,222.0,
3496,NEEM AT PARK FIVE ,15,DEYAAR DEVELOPMENT (P.J.S.C),2025-07-01 00:00:00,2027-12-01 00:00:00,2025-04-18 12:43:58,Normal,96000000,1582174791701.0,ACTIVE,0.0,2025-01-09 12:09:00,,"A residential building comprising a Basement, Ground Floor, Podium, 11 Upper Floors, and a Rooftop, offering a wide range of amenities including a gym, multipurpose room, adult swimming pool, children's pool, play area for kids, communal dining and BBQ space, and an outdoor social area.",Me'Aisem First,Dubai Development Authority (DDA),0.0,0.0,0.0,145.0,
3498,DAMAC ISLANDS - BORA BORA 1,2035,DAMAC ELITE INVESTMENT CO. L.L.C,2025-04-21 00:00:00,2028-12-31 00:00:00,2025-02-05 10:54:25,Normal,108163534,205892602939.0,ACTIVE,0.34,2025-06-30 13:55:21,,"Project consists of 251 Nos of G+2 and G+1 Townhouses and Villas located in Al Yalayis 1, Dubai. The units are designed to have a concrete structure and block with internal and external finishes.",Al Yelayiss 1,Dubai Development Authority (DDA),0.0,0.0,251.0,0.0,
3499,DAMAC ISLANDS - BORA BORA 2,2035,DAMAC ELITE INVESTMENT CO. L.L.C,2025-04-21 00:00:00,2028-12-31 00:00:00,2025-02-05 10:56:35,Normal,103369720,205892602943.0,ACTIVE,0.35,2025-06-30 14:02:14,,"Project consists of 233 Nos of G+2 and G+1 Townhouses and Villas located in Al Yalayis 1, Dubai. The units are designed to have a concrete structure and block with internal and external finishes.",Al Yelayiss 1,Dubai Development Authority (DDA),0.0,0.0,233.0,0.0,
3500,DAMAC ISLANDS - BORA BORA 3,2035,DAMAC ELITE INVESTMENT CO. L.L.C,2025-04-21 00:00:00,2028-12-31 00:00:00,2025-02-05 13:00:34,Normal,187359049,205892602933.0,ACTIVE,0.25,2025-06-30 14:05:01,,"Project consists of 388 Nos of G+2 and G+1 Townhouses and Villas located in Al Yalayis 1, Dubai. The units are designed to have a concrete structure and block with internal and external finishes.",Al Yelayiss 1,Dubai Development Authority (DDA),15.0,0.0,388.0,0.0,
3502,DAMAC ISLANDS - MALDIVES 5,2035,DAMAC ELITE INVESTMENT CO. L.L.C,2025-04-21 00:00:00,2028-12-31 00:00:00,2025-02-05 00:00:00,Normal,140444572,205892602937.0,ACTIVE,0.54,2025-06-30 14:14:39,,"Project consists of 155 Nos of B+G+2, G+2 and G+1 Townhouses and Villas located in Al Yalayis 1, Dubai. The units are designed to have a concrete structure and block with internal and external finishes.",Al Yelayiss 1,Dubai Development Authority (DDA),11.0,0.0,144.0,0.0,
3503,DISTRIKT,1441,MAJID AL FUTTAIM GHAF WOODS L.L.C,2025-08-01 00:00:00,2028-09-30 00:00:00,2025-05-22 11:17:46,Normal,643351000,205872406713.0,ACTIVE,0.0,2025-01-13 14:50:13,,The Project contains four buildings shared on ground and 2 podium floors ,Wadi Al Safa 4,Dubai Development Authority (DDA),0.0,0.0,0.0,550.0,
3504,Binghatti Skyhall,1051,Binghatti Developers FZE,2025-02-01 00:00:00,2026-08-31 00:00:00,2025-03-17 13:58:32,Normal,385000000,9009226759924002.0,ACTIVE,0.0,2025-01-14 14:41:52,,3B + G + 3P + 29 RESIDENTIAL FLOORS + 1MECH. + ROOF,Business Bay,Dubai Development Authority (DDA),0.0,0.0,0.0,728.0,
3505,DAMAC ISLANDS - FIJI 1,2035,DAMAC ELITE INVESTMENT CO. L.L.C,2025-04-21 00:00:00,2028-12-31 00:00:00,2025-02-05 11:05:30,Normal,154987488,205892602935.0,ACTIVE,0.25,2025-06-30 14:07:44,,"Project consists of 398 Nos of G+2 and G+1 Townhouses and Villas located in Al Yalayis 1, Dubai. The units are designed to have a concrete structure and block with internal and external finishes.",Al Yelayiss 1,Dubai Development Authority (DDA),0.0,0.0,398.0,0.0,
3506,Rose Gardens 1,2093,ROZ REAL ESTATE DEVELOPMENT L.L.C,2025-01-24 00:00:00,2026-07-23 00:00:00,2025-04-04 13:05:54,Normal,72000000,205915669005.0,ACTIVE,2.15,2025-07-07 14:46:39,,"G+1P+8F+R,Residential Building. The project designed to have a concrete structure and block with internal and external finishes.
",Al Satwa,Dubai Development Authority (DDA),0.0,0.0,0.0,166.0,
3507,DAMAC ISLANDS - FIJI 2,2035,DAMAC ELITE INVESTMENT CO. L.L.C,2025-04-21 00:00:00,2028-12-31 00:00:00,2025-02-05 11:46:08,Normal,165457594,205892602931.0,ACTIVE,0.59,2025-06-30 14:09:41,,"Project consists of 400 Nos of G+2 and G+1 Townhouses and Villas located in Al Yalayis 1, Dubai. The units are designed to have a concrete structure and block with internal and external finishes.",Al Yelayiss 1,Dubai Development Authority (DDA),0.0,0.0,400.0,0.0,
3508,RAFFI BY AZIZI,1002,AZIZI DEVELOPMENTS L.L.C,2025-01-15 00:00:00,2028-01-15 00:00:00,2025-04-07 14:08:14,Normal,46527000,10174999920256.0,ACTIVE,0.0,2025-01-16 15:58:03,,2B+G+2P+8+R+Top Roof,Jabal Ali First,Trakhees,0.0,0.0,0.0,171.0,
3510,Arian By Azizi ,1002,AZIZI DEVELOPMENTS L.L.C,2025-01-16 00:00:00,2028-01-16 00:00:00,2025-03-24 12:24:03,Normal,82550000,10174999920254.0,ACTIVE,0.0,2025-01-16 16:24:06,,3B+G+M+5P+15+R+Roof Top,Jabal Ali Industrial Second,Trakhees,0.0,0.0,0.0,555.0,
3511,Celeste Heights by Zimaya Properties,1718,ZIMAYA PROPERTIES LLC,2025-05-01 00:00:00,2027-09-30 00:00:00,2025-02-18 14:11:55,Normal,45000000,19500000737.0,ACTIVE,2.94,2025-07-07 17:42:27,,Ground + 2 podium + 8 floors,Jabal Ali First,Trakhees,0.0,0.0,0.0,69.0,
3512,BELGRAVIA GARDENS,1986,ELLINGTON KARMA DEVELOPERS L.L.C,2025-01-31 00:00:00,2028-09-30 00:00:00,2025-05-19 14:26:25,Normal,450000000,200842608.0,ACTIVE,0.0,2025-01-27 13:52:21,,4  Buildings (B+G+6) ; 1 Building ( B+G+1),Wadi Al Safa 2,Dubai Development Authority (DDA),0.0,0.0,0.0,743.0,
3513,Sola Residences,2135,SOLA RESIDENCES REAL ESTATE DEVELOPMENT L.L.C,2025-03-15 00:00:00,2027-09-15 00:00:00,2025-02-05 10:54:59,Normal,60000000,3538490928102.0,ACTIVE,0.0,2025-01-20 11:22:38,,G+1P+12+R,Jabal Ali First,Dubai Municipality,0.0,0.0,0.0,260.0,
3514,Greenspoint,1155,EMAAR DUBAI SOUTH DWC LLC,2025-01-30 00:00:00,2029-03-31 00:00:00,2025-01-28 16:03:18,Normal,225863649,4031226131257004.0,ACTIVE,1.35,2025-07-09 11:27:51,,"Freehold G+1 Townhouses consisting of 98 nos. of 3 Bedroom and 98 nos. of 4 Bedroom
",Madinat Al Mataar,Dubai South,0.0,0.0,196.0,0.0,
3515,Westar Altair,1501,WESTAR PROPERTIES L.L.C,2025-03-01 00:00:00,2027-05-31 00:00:00,2025-04-03 10:44:11,Normal,25000000,205898348802.0,ACTIVE,10.42,2025-08-01 11:25:53,,Residential Building of B + 4 +R in Dubai South.,Madinat Al Mataar,Dubai South,0.0,0.0,0.0,56.0,
3516,Amaya Residences,2144,POLYGON REAL ESTATE DEVELOPMENT L.L.C,2025-03-01 00:00:00,2027-03-01 00:00:00,2025-05-16 17:26:15,Normal,52000000,19413513.0,ACTIVE,0.0,2025-01-28 13:51:41,,Residential Building (B+G+2P+12 Typical Floor +R) with Retail @ GF+ Swimming pool with entertainment area @ First Floor,Jabal Ali First,,0.0,0.0,0.0,78.0,
3517,Rosewood Residences Dubai ,2165,AGARWOOD PROPERTIES L.L.C,2025-10-06 00:00:00,2028-12-31 00:00:00,2025-02-21 14:45:03,Normal,150000000,205908387502.0,ACTIVE,0.0,2025-01-20 14:30:49,,"5 Residential villas
 with 4 levels (5 Bedrooms each Gym and Wellness facilities Swimming pool and terraces
Basement (6 carpark spaces) with turntable and car lift Entertainment Room",Jumeirah Second,Dubai Municipality,0.0,0.0,5.0,0.0,
3518,Wellington Grand Villas,2077,MBR MANSIONS REAL ESTATE DEVELOPMENT L.L.C,2025-03-25 00:00:00,2028-01-24 00:00:00,2025-05-29 12:44:27,Normal,100000000,200832816.0,ACTIVE,0.0,2025-01-20 13:46:08,,22 nos. of Residential Villa having basement + Ground + 1st Floor + 2nd Floor + Roof Top + Amenities.,Wadi Al Safa 3,Dubai Municipality,0.0,0.0,22.0,0.0,
3521,West 5 Residences,1653,WEST F 5 DEVELOPMENT L.L.C,2025-04-15 00:00:00,2027-04-14 00:00:00,2025-04-21 16:29:23,Normal,81000000,3538489459503.0,ACTIVE,0.0,2025-01-22 13:46:42,,G + 2  Parking + 8 Floors + Roof,Al Satwa,Dubai Development Authority (DDA),0.0,0.0,0.0,129.0,
3522,Casa Aura Residence,2130,A G N SKYLINE REAL ESTATE DEVELOPMENTS L.L.C,2025-05-12 00:00:00,2027-09-12 00:00:00,2025-06-11 00:00:00,Normal,17600000,200847931.0,ACTIVE,0.0,2025-01-22 10:07:14,,G+4,Madinat Al Mataar,Dubai South,0.0,0.0,0.0,58.0,
3523,Expo City Al Waha Residences 01,2197,EXPO CITY AL WAHA RESIDENCES DEVELOPMENT FZCO,2025-05-01 00:00:00,2027-06-15 00:00:00,2025-02-10 00:00:00,Normal,251261332,205913059802.0,ACTIVE,46.68,2025-05-14 09:46:33,,"A full basement level constructed over the entire project footprint, along with three buildings comprising Ground Floor + First Floor + Roof: (Al Waha 03, Al Waha 10, Al Waha 20), seventeen buildings comprising Ground Floor + Two Floors + Roof: (Al Waha 01, Al Waha 02, Al Waha 04, Al Waha 05, Al Waha 06, Al Waha 07, Al Waha 08, Al Waha 09, Al Waha 11, Al Waha 12, Al Waha 13, Al Waha 14, Al Waha 15, Al Waha 16, Al Waha 17, Al Waha 18, Al Waha 19) & One building comprising Ground Floor + Three Floors + Roof: (Al Waha 21), 
This brings the total number of buildings to 21, with a total of 284 residential units and 4 commercial spaces. 
",Madinat Al Mataar,Dubai Municipality,0.0,0.0,0.0,288.0,
3524,CAPRIA EAST ,1441,MAJID AL FUTTAIM GHAF WOODS L.L.C,2025-09-15 00:00:00,2029-05-15 00:00:00,2025-03-20 11:38:22,Normal,760000000,205872406711.0,ACTIVE,0.0,2025-01-21 16:56:25,,"Residential Development (9 Residential Buildings, 3 Amenities blocks) with shared basement ",Wadi Al Safa 4,Dubai Development Authority (DDA),0.0,0.0,0.0,553.0,
3525,CAPRIA WEST,1441,MAJID AL FUTTAIM GHAF WOODS L.L.C,2025-08-15 00:00:00,2029-05-08 00:00:00,2025-02-26 14:39:16,Normal,950000000,205872406709.0,ACTIVE,0.0,2025-01-21 17:56:27,,"Residential Development (12 Residential Buildings, 3 Amenities blocks) with shared basement ",Wadi Al Safa 4,Dubai Development Authority (DDA),0.0,0.0,0.0,714.0,
3526,Jumeirah Residences - Asora Bay - Ocean Mansions,1510,DHRE 2 BTS L.L.C,2025-05-02 00:00:00,2029-03-31 00:00:00,2025-02-18 14:11:28,Normal,320000000,10497411920043.0,ACTIVE,0.32,2025-07-29 09:49:31,,Residential Project consists of 6no. Luxury Residential Villas (B+G+2) ,Jumeirah First,Dubai Development Authority (DDA),0.0,0.0,6.0,0.0,
3527,Celeste,1669,HRE REAL ESTATE DEVELOPMENT L.L.C,2025-02-01 00:00:00,2027-02-28 00:00:00,2025-02-18 13:02:42,Normal,35000000,12157179009.0,ACTIVE,0.0,2025-01-21 21:47:03,,Residential Building (3B+G+7 floor +R),Al Jadaf,Dubai Development Authority (DDA),0.0,0.0,0.0,66.0,
3528,15 CASCADE,1178,IMAN DEVELOPERS L.L.C,2025-03-30 00:00:00,2028-09-30 00:00:00,2025-06-17 14:01:07,Normal,110728548,205302400822.0,ACTIVE,0.0,2025-01-23 19:18:22,,PROPOSED 2B+G+15 STOREY RESIDENTIAL & COMMERCIAL BUILDING ON PLOT NO. 6740199 AT AL HEBIAH FIRST DUBAI,Al Hebiah First,Dubai Development Authority (DDA),0.0,0.0,0.0,440.0,
3529,Azizi Ruby ,1002,AZIZI DEVELOPMENTS L.L.C,2025-01-23 00:00:00,2028-01-23 00:00:00,2025-03-18 20:31:43,Normal,41100000,10174999920252.0,ACTIVE,0.0,2025-01-23 16:08:37,,PROPOSED BUILDING 3B+G+4P+14+R+Roof Top  RESIDENTIAL & RETAIL BUILDING,Al Barsha South Fourth,Trakhees,0.0,0.0,0.0,264.0,
3530,City Walk Crestlane 2,1109,CITYWALK RESIDENTIAL 1 L.L.C,2025-04-16 00:00:00,2028-12-10 00:00:00,2025-02-06 11:25:08,Normal,347143600,10502351920024.0,ACTIVE,0.0,2025-07-29 18:18:42,,"The project is a standard residential apartment located at Citywalk. It introduces one level shared basement and ground with 2 retail units directly accessed from the building fa?ade adjoining the main lobby:
Building A: B+G+12+R: comprising 116 units, and
Building B: B+G+11+R: comprising 85 units each. In total, the residences include 201 apartments, which offer a mix of unit types: 1-bedroom, 2-bedroom, 3-bedroom, 4-bedroom, and 4-bedroom duplex apartments.
",Al Wasl,Dubai Development Authority (DDA),0.0,0.0,0.0,203.0,
3531,City Walk Crestlane 3,1109,CITYWALK RESIDENTIAL 1 L.L.C,2025-04-16 00:00:00,2028-12-10 00:00:00,2025-02-06 13:11:57,Normal,331459900,10502351920026.0,ACTIVE,0.0,2025-07-29 18:23:53,,"The project is a standard residential apartment located at Citywalk. It introduces a one level shared basement and ground with 2 retails directly accessed from the building facade adjoining the main lobby, 
Building A: B+G+11+R: comprising 112 units, and
Building B: B+G+10+R: comprising 81 units each. In total, the residences include 193 apartments, which offer a mix of unit types: 1-bedroom, 2-bedroom, 3-bedroom, 4-bedroom, and 4-bedroom duplex apartments.
",Al Wasl,Dubai Development Authority (DDA),0.0,0.0,0.0,195.0,
3532,Naya 2 At District One,956,District One - FZ,2025-04-13 00:00:00,2025-09-30 00:00:00,,Normal,716526999,,PENDING,0.0,2025-01-24 18:26:10,,"NAYA 2 at District One is designed with 3 residential towers on a single plot with a common podium including the amenities (no basements). 
Total no of residentials units is 546. The details of the buildings are as follows:
NAYA 04 - G+17+R ? 161 units 
NAYA 05 - G+24+ R ? 214 units
NAYA 06 - G+18+R ? 167 units
Lagoon Villas ? G+1+ R ? 4units 
",Al Merkadh,,1.0,0.0,0.0,0.0,
3533,Binghatti Ruby,1051,Binghatti Developers FZE,2025-01-01 00:00:00,2026-02-28 00:00:00,2025-04-07 15:36:39,Normal,275000000,12918620778.0,ACTIVE,0.0,2025-01-31 14:32:55,,UB+B + G + 4P +2 Office+ 18 RESIDENTIAL FLOORS + ROOF,Al Barsha South Fourth,Trakhees,0.0,0.0,0.0,628.0,
3534,Vida Residences Hillside,984,DUBAI HILLS ESTATE L.L.C,2025-06-30 00:00:00,2029-05-31 00:00:00,2025-02-11 16:09:49,Normal,508687304,3537351120013.0,ACTIVE,0.57,2025-08-29 11:52:43,,"Basement + Ground Floor + Podium + 2 Residential Buildings + 8 Townhuoses G + 1, 
Tower A: B+G+P+20 floors 184 Residential Units
Tower B: B+G+P+19 floors 308 Residential Units
Townhouses: G+1 8 Residential Units 
",Hadaeq Sheikh Mohammed Bin Rashid,Dubai Development Authority (DDA),0.0,0.0,0.0,500.0,
3535,ANANDA RESIDENCES,581,TIGER PROPERTIES,2025-02-01 00:00:00,2028-05-31 00:00:00,2025-09-24 14:26:09,Normal,540000000,4031225724912017.0,ACTIVE,0.0,2025-01-31 14:14:08,,"Building 1 (Block A): G+53F+2MECH+R
Building 2 ( Block B): G+53F+2MECH+R
Shared Basement: 1B+G+R",Al Hebiah First,Dubai Development Authority (DDA),0.0,0.0,0.0,1027.0,
3536,Whitestone Residence,1763,AXIOM PRIME REAL ESTATE DEVELOPMENT L.L.C,2025-06-01 00:00:00,2026-10-31 00:00:00,2025-06-26 09:37:56,Normal,20000000,19000090000.0,ACTIVE,0.0,2025-02-12 11:00:45,,G+2P+8+R,Al Satwa,Dubai Development Authority (DDA),0.0,0.0,0.0,46.0,
3540,The Element at Sobha One,966,SOBHA L.L.C,2025-05-01 00:00:00,2029-12-31 00:00:00,2025-03-17 12:34:04,Normal,501538725,1011224613244012.0,ACTIVE,0.0,2025-02-25 10:46:20,,"Proposed Basement + Ground + 67 Floors + Roof, Commercial and Residential Development",Ras Al Khor Industrial First,Dubai Municipality,0.0,0.0,0.0,401.0,
3541,Bhuvi Residence,2192,BRAVIMA REAL ESTATE DEVELOPMENT L.L.C,2025-01-15 00:00:00,2026-12-15 00:00:00,2025-05-05 14:45:10,Normal,20000000,90010200035328.0,ACTIVE,0.0,2025-02-05 11:08:45,,G+4F+R,Madinat Al Mataar,Dubai South,0.0,0.0,0.0,70.0,
3542,MAG 888,1164,MAG PROPERTY DEVELOPMENT L.L.C,2025-03-01 00:00:00,2028-03-31 00:00:00,,Normal,327000000,,CANCELLED,,,,Commercial and Residential Building 2B+G+M+3P+40+2Mech+Roof,Burj Khalifa,,,,,,
3543,VERDANIA 1,1894,OBJ1 REAL ESTATE DEVELOPMENT L.L.C,2025-03-25 00:00:00,2027-03-30 00:00:00,2025-06-04 12:21:16,Normal,36000000,19438427.0,ACTIVE,3.02,2025-07-24 11:53:46,,2B+G+11+R Residential Building,Wadi Al Safa 5,Dubai Development Authority (DDA),0.0,0.0,0.0,208.0,
3544,Coastal Haven by Prestige Harbour Real Estate Development ,2073,PRESTIGE HARBOUR REAL ESTATE DEVELOPMENT L.L.C,2025-07-01 00:00:00,2027-11-30 00:00:00,2025-02-13 15:05:29,Normal,30000000,3538491084803.0,ACTIVE,0.0,2025-01-30 19:38:04,,G+2P+12+ROOF,Palm Deira,Trakhees,0.0,0.0,0.0,73.0,
3547,Woodland Crest,1753,A M I S REAL ESTATE DEVELOPMENT L.L.C,2025-07-01 00:00:00,2027-06-30 00:00:00,2025-04-02 11:05:14,Normal,19170000,13253198920006.0,ACTIVE,0.0,2025-02-22 10:33:50,,B+G+5+Roof-Mixed Use,Nad Al Shiba First,Dubai Municipality,0.0,0.0,0.0,52.0,
